   CITY                       ,   LAT,    LON,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,Totals,Sum,IsSum_Total_Same?
Crawford 7.5 ENE,31.5800800323486,97.3242568969727,0.63,0.02,0.5,0.12,0,0,0,0,1.27,1.27,1
Creedmoor 1.5 NNW,30.112186,97.7493329,0.02,2.46,7.29,2.38,,,0.01,,12.16,12.16,1
Creedmoor 2.6 N,30.1286716461182,97.7359008789063,,2.19,7.22,2.35,,,,,11.76,11.76,1
CRESSON                       ,32.53,-97.62,,,,1,0.1,,,,1.1,1.1,1
CROCKETT                      ,31.3,-95.45,0.08,0,2.66,2.45,0.22,0.04,0,,5.45,5.45,1
Crockett 1.8 NNE,31.343774870038,95.4493944346905,0.03,0,2.2,2.16,0.19,0.03,0.01,0,4.62,4.62,1
CROSBY                   1 N,29.9,-95.08,,,,,8.44,,,,8.44,8.44,1
Crosby 2 W,29.91,-95.09,,,,,,,,,37.5,0,0
CROSBY TX/CEDAR BAYOU,29.97,-94.99,,,,,6.68,,,,6.68,6.68,1
CROSBYTON                     ,33.46,-101.09,,,,0,,,,,0,0,1
CROSBYTON                1 SW,33.59,-101.24,,,0.04,0,,,,,0.04,0.04,1
CROSS                    9 N,28.6,-98.57,0,0.39,0.61,0.05,0,,,,1.05,1.05,1
Cross 1.7 NNW,28.628463,98.552108,0,0.13,0.36,0,0,0,0,0,0.49,0.49,1
Cross Mountain 1.2 N,29.661978,98.662494,,0.24,1.04,0.36,,,,,1.64,1.64,1
Cross Mountain 2.1 N,29.67494,98.6535,0,0.25,0.98,0.02,0,0,0,0,1.25,1.25,1
Cross Plains 6.5 WNW,32.1631,99.267,0.12,0.01,0.06,,,0,0,0,0.19,0.19,1
CROWELL                  1 NNW,33.99,-99.73,,,,0,,,,,0,0,1
Crowell 10.5 E,33.9847679138184,99.5408477783203,0,0,0,0,0,0,0,0,0,0,1
Crowley 1.4 SSE,32.557986,97.3526,,,0.22,,,,,,0.22,0.22,1
Crystal Beach 3.7 ENE,29.47655,94.580271,1.07,,,,,,0,,1.07,1.07,1
Crystal City 0.5 ESE,28.68591,99.81848,0.15,0.17,0.02,0.02,0,,,0,0.36,0.36,1
Crystal City 0.5 S,28.68302,99.82557,0.16,0.15,0.04,,,,,,0.35,0.35,1
Crystal City 0.7 WNW,28.69428,99.835686,0.24,0.19,0.03,0,,,,0,0.46,0.46,1
Crystal City 9.2 E,28.6795,99.67383333,0,0.4,0,0.01,0,0,0,0,0.41,0.41,1
Cuero 0.4 SSW,29.089126,97.289198,,,14,,,,,,14,14,1
Cuero 1.2 SSE,29.07908,97.27862,,,,,,,0,,0,0,1
Cuero 2 W,29.09,-97.32,,,,,,,,,5.28,0,0
Cuero 2.5 ESE,29.07611111,97.25194444,0.07,4.9,3.49,2.5,0.13,0,0,0.01,11.1,11.1,1
Cuero 2.6 ESE,29.075024,97.24994,0.09,4.55,3.16,2.5,0.16,0,0,0.01,10.47,10.47,1
Cuero 2.7 ESE,29.07744,97.249158,0.07,4.9,3.73,2.25,0.2,0.01,0,0.01,11.17,11.17,1
Cuero 7.3 SSW,28.998659,97.340044,0.76,,5.97,1.24,0.08,0,0,0,8.05,8.05,1
Cuero 8.4 S,28.971972,97.292248,0.41,,10.52,1.43,,,0,,12.36,12.36,1
Cuero 8.4 S,28.9722,97.2788,,7.41,3.55,1.94,0.32,0,0,0,13.22,13.22,1
Cumby 1.5 N,33.155,95.843,0,0.02,,0,0,0,0,0,0.02,0.02,1
Cumby 5.6 SSE,33.055328,95.811596,0,0.03,0,0.02,0,0,0,0,0.05,0.05,1
CYPRESS                       ,30.02,-95.7,,,,,,0.36,,,0.36,0.36,1
Cypress 3.2 ESE,29.956425,95.646324,0.03,2.03,11.46,8.79,5.14,0.38,0,0,27.83,27.83,1
Cypress Creek @ Cypresswood Drive,30.031016,-95.330033,0.32,7.88,18.88,5,3.08,0,0,,35.16,35.16,1
Cypress Creek @ Eldridge Parkway N,29.966174,-95.607602,0.32,5.48,13.08,4.16,1.64,0,0,,24.68,24.68,1
Cypress Creek @ Huffmeister Road,29.961554,-95.631215,0.44,7.32,14.8,4.36,1.72,0,0,,28.64,28.64,1
Cypress Creek @ I-45,30.036344,-95.428694,0.28,7.72,16.44,4.56,2.08,0,0,,31.08,31.08,1
Cypress Creek @ Inverness Forest,30.034738,-95.409868,0.28,7.08,16.6,4.96,2.36,0,0,,31.28,31.28,1
Cypress Creek @ Katy-Hockley Road,29.950388,-95.808312,0.56,9.12,18.08,3.36,0.76,0,0,,31.88,31.88,1
Cypress Creek @ Kuykendahl Road,30.023755,-95.475879,0.24,7.36,15.84,4.28,1.84,0,0,,29.56,29.56,1
Cypress Creek @ SH 249,29.985654,-95.569924,0.36,6.6,16.04,4.4,1.6,0,0,,29,29,1
Cypress creek @ Sharp Road,29.921049,-95.840178,0.72,8.2,19.88,3.48,0.72,0,0,,33,33,1
Cypress Creek @ Stuebner-Airline Road,30.006281,-95.511647,0.32,7.2,15.96,4.88,1.84,0,0,,30.2,30.2,1
CYPRESS MILL                  ,30.38,-98.19,0.22,0.37,2.01,0.78,0,,,,3.38,3.38,1
CYPRESS MILL             7 SSE,30.28,-98.24,0.69,0.5,2.42,1.14,0,,,,4.75,4.75,1
Cypress Mill 3 ESE,30.37,-98.22,,,,,,,,,3.15,0,0
Cypress Mills 3.1 SE,30.34274,98.21875,0.36,0.47,2.73,0.73,0,,,,4.29,4.29,1
Daisetta NNW 8219,30.13,-96.52,,,,,,,,,30.58,0,0
Dale 4.4 SE,29.877278,97.518856,0.2,2.11,10.79,3.09,0.01,,,,16.2,16.2,1
Dale 7.3 SE,29.85765674579,97.4713924527168,0.67,1.89,10.81,4.2,0.06,0,0,0,17.63,17.63,1
Dale 7.6 N,30.03779,97.569559,0.29,1.93,9.59,2.76,0.1,0,0,0,14.67,14.67,1
Dalhart 8.1 W,36.083333,102.656667,0,0,0,0.13,0,0,0,0,0.13,0.13,1
DALLAS                        ,32.85,-96.85,,,0,0.74,0.32,0,,,1.06,1.06,1
DALLAS                        ,32.68,-96.87,,,0.03,0.15,0.02,,,,0.2,0.20,1
Dallas 1.0 NNE,32.807458,96.759065,0,0,0.02,0.45,0.16,0,0,0,0.63,0.63,1
Dallas 2.1 NNE,32.8210879,96.7491816,0,0,0,0.25,0.35,,,0,0.6,0.6,1
Dallas 2.7 WNW,32.815197,96.803515,0,0,0,0.2,0.04,0,0,0,0.24,0.24,1
Dallas 7.2 SW,32.709079,96.83827,0.05,0,0.06,0.04,0.03,0,0,0,0.18,0.18,1
DALLAS-FORT WORTH             ,32.9,-97.04,,,0.05,0.46,,0,,,0.51,0.51,1
DANEVANG                 1 W,29.05,-96.23,0.97,5.42,3.39,3.93,,0,0,,13.71,13.71,1
Danevang 2 W,29.05,-96.23,,,,,,,,,10.8,0,0
DAWSON                   5 NNE,31.96,-96.69,0,0,0.51,0.02,0,0,,,0.53,0.53,1
Dayton 0.2 E,30.050058,94.891414,0,2.45,25,12.27,6.36,3.15,0.08,0,49.31,49.31,1
Dayton 1.1 SE,30.040319,94.881529,0,2.6,,,,,0.08,0,2.68,2.68,1
DE KALB                 13 N,33.69,-94.69,,,0.01,0,0,0,0,,0.01,0.01,1
De Kalb 0.1 SSW,33.5058,94.6173,0,0,0.03,0,0,0,,0,0.03,0.03,1
De Leon 4.5 W,32.099809,98.61301,0.26,0.2,0.1,0.05,0,0,0,0,0.61,0.61,1
Dean-Walker Ranch,31.09139,105.19056,,,,,,,0,,0,0,1
DECATUR                       ,33.23,-97.6,,,,0,0,0,,,0,0,1
Decatur 4.1 W,33.223555,97.661972,1.61,,,,,,,,1.61,1.61,1
Decatur 8.4 S,33.112191,97.590808,1.69,0,0.23,,,,,,1.92,1.92,1
DEL RIO                       ,29.37,-100.92,,,0,0,,,,,0,0,1
DEL RIO                  2 NW,29.42,-100.91,,,0,0.01,,,,,0.01,0.01,1
Del Rio 5.7 NW,29.442051,100.953602,0.02,0,0,0.05,0,0,0,0,0.07,0.07,1
Del Rio 7.8 NNW,29.48166667,100.9413333,0,0,0,0.04,0,0,0,0,0.04,0.04,1
DEL VALLE                3 SW,30.18,-97.69,0.01,1.25,6.66,1.84,0.01,0,,,9.77,9.77,1
Dell City 1.4 SW,31.92313,105.21805,0.15,0,0,0,0,0,0,0,0.15,0.15,1
DENISON                       ,33.82,-96.57,,,0,0,0,0,,,0,0,1
Denison 0.8 ENE,33.760806,96.551384,1.07,0.01,,,,,0,0,1.08,1.08,1
Denison 4.9 SW,33.70655,96.624449,,0.27,0,0,0,,0,0,0.27,0.27,1
Dennis 1.4 SW,32.605525,97.945411,1.36,0.04,0.26,0.23,0,0,0,0,1.89,1.89,1
DENTON                        ,33.2,-97.2,,,0.02,0.01,,0,,,0.03,0.03,1
DENTON                   2 SE,33.2,-97.11,,,,0.04,,,,,0.04,0.04,1
DeSoto 2.2 ENE,32.613008,96.827942,0,0.01,0.04,1.48,0,0,0,0,1.53,1.53,1
Detroit 14.9 N,33.8767172,95.2495508,0,0,0,0,0.05,0,0,0,0.05,0.05,1
Devine 0.4 S,29.1399633,98.905306,0,0.22,0.11,0.04,0,0,0,0,0.37,0.37,1
Devine 4 WNW,29.16,-98.96,,,,,,,,,0.42,0,0
Devine 6.4 N,29.237532,98.922188,0.36,0.1,0.19,0.1,,,,,0.75,0.75,1
Devine 6.7 NNE,29.23756980896,98.8686218261719,0,0.15,0.21,0,0,0,0,0,0.36,0.36,1
D'Hanis 0.4 NNE,29.335667,99.280449,0,0.05,0.07,0,0,0,0,0,0.12,0.12,1
D'Hanis 2.4 NNE,29.3601,99.2611,0,0.12,0.07,0,0,0,0,0,0.19,0.19,1
D'Hanis 3.5 WSW,29.326117,99.337833,0,0.07,0.03,0,0,0,0,0,0.1,0.1,1
DIALVILLE                2 W,31.91,-95.26,,,0.65,,0,,,,0.65,0.65,1
Dickens 2.3 SW,33.6024254,100.8689361,0,0,0,0,0.02,0,0,0,0.02,0.02,1
Dickens 2.4 SW,33.5948021,100.8618673,0,0.23,0,0,0,0,0,0,0.23,0.23,1
Dickinson 0.5 NNE,29.4612,95.0643,0.62,3.38,,,,,,,4,4.00,1
Dickinson 1.4 W,29.45549,95.088872,,4.56,,,,,,,4.56,4.56,1
Dickinson NWS,29.47,-95.08,,,,,,,,,43.92,0,0
Dilley 0.4 SSW,28.663225,99.172441,0,0,0.39,0.02,0,0,0,0,0.41,0.41,1
Dilley 17.9 ESE,28.566667,98.9,,0.06,0.4,0,0,0,0,0,0.46,0.46,1
DIME BOX                      ,30.36,-96.85,,1.57,8.13,5.13,0.02,,,,14.85,14.85,1
Dodd City 3.0 NNW,33.614237,96.097774,0,0,0.03,0,0,0,0,0,0.03,0.03,1
Dodge 1.6 S,30.72284833,95.40165167,,0.31,7.68,11.65,2.25,0.91,0.06,,22.86,22.86,1
Driftwood 1 SW,30.1,-98.05,,,,,,,,,4.57,0,0
Driftwood 2 SE,30.1,-98.01,,,,,,,,,7.41,0,0
Driftwood 2.4 NNW,30.1574143767357,98.0393951386213,,1.48,4.44,0.98,,,,,6.9,6.90,1
Driftwood 2.42 SSW,30.090039,98.044865,0.05,6.16,1.44,,,,,,7.65,7.65,1
Driftwood 2.8 NNW,30.1632729438,98.0403184890747,0,0.74,5.07,1.08,0,0,0,0,6.89,6.89,1
Driftwood 4 W,30.12,-98.1,,,,,,,,,6.28,0,0
Driftwood 5 NE,30.17,-97.98,,,,,,,,,3.18,0,0
Driftwood 5.0 S,30.0506,98.0187,0.13,0.94,6.83,1.12,0.05,0,,0,9.07,9.07,1
Driftwood 6 NE,30.19,-97.96,,,,,,,,,5.43,0,0
Driftwood/Onion Creek,30.12,-98.03,,,,,,,,,7.27,0,0
DRIPPING SPRINGS         4 NNE,30.25,-98.06,0,0.91,4.13,1.24,0,,,,6.28,6.28,1
DRIPPING SPRINGS         5 SSW,30.12,-98.11,0,0.65,4.77,0.87,0,,,,6.29,6.29,1
DRIPPING SPRINGS         6 E,30.21,-97.98,,1.08,4.5,1.24,,,,,6.82,6.82,1
DRIPPING SPRINGS         8 W,30.2,-98.22,0.17,0.82,3.33,1.04,0,,,,5.36,5.36,1
Dripping Springs 0.6 SSE,30.180998,98.083565,0,0.99,5.07,1.25,0.01,0,0,0,7.32,7.32,1
Dripping Springs 1.3 E,30.18954,98.067405,,1.32,4.59,1.15,,,,,7.06,7.06,1
Dripping Springs 1.4 N,30.2088050842285,98.0849380493164,,1.18,3.9,1.16,0.02,,,,6.26,6.26,1
Dripping Springs 1.7 NW,30.20483,98.109273,0,0.75,4.56,1.23,0,0,,,6.54,6.54,1
Dripping Springs 3.3 NE,30.21855,98.04505,0,1.34,3.48,0.76,0,0,0,0,5.58,5.58,1
Dripping Springs 3.8 ESE,30.17649269104,98.0267562866211,0.02,0.93,5.51,1.51,0.02,0,0,0,7.99,7.99,1
Dripping Springs 4 NNE,30.25,-98.06,,,,,,,,,6.25,0,0
Dripping Springs 4.1 SSW,30.130576,98.106367,0,0.98,1.78,0.52,0.02,0,0,0,3.3,3.3,1
Dripping Springs 4.3 E,30.1974,98.016508,0.02,0.99,5.07,1.27,0,0,0,0,7.35,7.35,1
Dripping Springs 5 NNE,30.26,-98.05,,,,,,,,,5.92,0,0
Dripping Springs 5 SSW,30.12,-98.11,,,,,,,,,8.21,0,0
Dripping Springs 5.6 E,30.19425,97.99457,,,6.13,1.43,0.02,,,,7.58,7.58,1
Dripping Springs 6 N,30.31,-98.08,,,,,,,,,4.69,0,0
Dripping Springs 6.0 NNE,30.271702632308,98.060219809413,0.02,0.88,4.44,1.5,0,0,0,0,6.84,6.84,1
Dripping Springs 6.1 WNW,30.236125,98.174918,,1,3.35,1.29,,,,,5.64,5.64,1
Dripping Springs 6.2 WSW,30.16193,98.18764,,,,,0,0,0,0,0,0,1
Dripping Springs 6.3 E,30.180769,97.982898,0.08,1.44,3.5,1.02,0.02,0,0,0,6.06,6.06,1
Dripping Springs 6.4 N,30.280532,98.07109,0.32,1.15,3.09,1.22,0,0,0,0,5.78,5.78,1
Dripping Springs 7.2 E,30.200644,97.968977,0.09,1.03,5.17,1.22,0.02,,0,0,7.53,7.53,1
Dripping Springs 7.6 N,30.297855,98.09448,0.22,1,4.1,1.24,,,,,6.56,6.56,1
Dripping Springs 8.4 W,30.166634,98.226313,0.07,0.68,3.15,1.01,0,0,0,0,4.91,4.91,1
Dryden 17.7 NE,30.0688,101.8204,,,0,0,0,0,,,0,0,1
DUMONT                        ,33.81,-100.52,,,0,0,,,,,0,0,1
Duncanville 1.7 NNW,32.669782,96.921618,0,0,0.03,0.21,0.12,0,0,0,0.36,0.36,1
Duncanville 3.2 WNW,32.656483,96.966564,0,0.05,0.04,0.4,0.23,0,,,0.72,0.72,1
DUNDEE                   5 NW,33.81,-98.93,,,0,0,0,,,,0,0,1
EAGLE LAKE               7 NE,29.66,-96.24,0.02,8.99,4.7,5.43,2.61,0,0,,21.75,21.75,1
Eagle Mountain 2.4 WSW,32.8756719,97.4797902,0.32,,,0.37,0,0,0,0,0.69,0.69,1
EAGLE PASS                    ,28.71,-100.48,,,,0,,,,,0,0,1
East Bay Bayou @ Skillern Tract,29.62887,-94.413743,3.62,3.11,8.47,11.53,19.17,1.54,0,,47.44,47.44,1
EAST BERNARD                  ,29.53,-96.06,0.02,8.36,4.83,2.81,5.34,0,0.01,,21.37,21.37,1
East Bernard 7.6 S,29.417772,96.05768,0.07,7.6,5.24,2.37,5.19,0,0,0,20.47,20.47,1
East Fork of DB @ Fairview Rd,29.73111,-94.5828,1.69,4.29,11.3,9.96,12.76,1.57,0,,41.57,41.57,1
East Fork San Jacinto @ FM 1485,30.145153,-95.125124,0.16,4.4,13.92,4.56,4.36,0.04,0,,27.44,27.44,1
East Lucas @ Ditch 002,30.12556,-94.11972,0.4,2.71,8.98,5.47,15.08,6.97,0.04,,39.65,39.65,1
Eastex Freeway @ Ditch 001,30.1275,-94.15778,0.31,2.36,8.82,5.36,16.65,6.22,0.04,,39.76,39.76,1
Eden 2.5 SSW,31.181613,99.8595183,,1.42,0.3,0.07,,,,,1.79,1.79,1
Edgecliff 3.7 WSW,32.627346,97.39658,3.5,0.26,0.17,0.65,,,,,4.58,4.58,1
EDINBURG                      ,26.3,-98.15,,0,0,0,0,,,,0,0,1
Edinburg 2.4 N,26.33077,98.17097,0.01,0,0,0,0,0,0,0,0.01,0.01,1
EL CAMPO                15 WSW,29.16,-96.51,0.35,3.14,1.91,1.47,2.29,0.03,,,9.19,9.19,1
El Campo 1.0 NW,29.206125,96.289001,0.34,4.35,3.06,2.57,2.9,0,0,0,13.22,13.22,1
El Campo 2.5 WSW,29.184529,96.315626,,3.91,3.05,1.27,3.17,,,,11.4,11.40,1
El Campo 2.7 NW,29.227813,96.302022,0.19,4.5,3.51,1.51,3.49,0,0,0,13.2,13.2,1
El Campo 4.9 SSE,29.12673,96.26024,0.4,5.46,3.87,1.05,4.38,0,0,0,15.16,15.16,1
El Cenizo 8.8 E,27.3159,99.361,0,0,0,0,0,0,0,0,0,0,1
El Paso 1.2 WSW,31.8428153991699,106.456489562988,0,0.05,0,0,0,0,0,0,0.05,0.05,1
El Paso 1.7 W,31.851869,106.465909,0,0.07,0,,0,,,0,0.07,0.07,1
El Paso 10.7 E,31.736096,106.30876,,0,,0,0,,0,0,0,0,1
El Paso 10.7 E,31.7591972351074,106.305099487305,,0,,0,0,0,0,,0,0,1
El Paso 11.3 ENE,31.774382,106.295397,0,0,0,0,0,0,0,0,0,0,1
El Paso 2.9 SSW,31.808957,106.452469,,0.06,,,,,,,0.06,0.06,1
El Paso 3.3 NNE,31.895909,106.422171,0,0,0,0,0,0,0,0,0,0,1
El Paso 3.8 SSW,31.798876,106.464188,,0.04,,,,,,,0.04,0.04,1
El Paso 4.0 SSW,31.79359,106.45657,0,0.03,0,0,0,0,0,0,0.03,0.03,1
El Paso 4.6 NNE,31.90543333,106.39515,0,0,0,0,0,0,0,0,0,0,1
El Paso 4.6 WSW,31.8302783966064,106.513389587402,0,0,0,0,0,0,0,0,0,0,1
El Paso 4.7 N,31.91655,106.42777,,,,,0,0,0,0,0,0,1
El Paso 5.1 SW,31.790327,106.490543,,,,0,0,0,0,0,0,0,1
El Paso 5.5 SW,31.7865581512451,106.494071960449,0.01,,,0,0,0,0,0,0.01,0.01,1
El Paso 6.0 N,31.9362,106.445,0,0,0,0,0,0,0,0,0,0,1
El Paso 6.4 SE,31.7778,106.3686,0,0.03,0,0,0,0,0,0,0.03,0.03,1
El Paso 6.9 WNW,31.876959,106.55033,0,0,0,0,0,0,0,0,0,0,1
El Paso 7.6 SE,31.772977,106.344463,,0.03,,,,,,,0.03,0.03,1
El Paso 8.0 WSW,31.814128,106.566893,,0.15,,,,,,,0.15,0.15,1
El Paso 8.8 SE,31.758554,106.332506,0,0,0,0,0,0,0,0,0,0,1
El Paso 8.9 ESE,31.77908,106.3112,0,0,0,0,0,0,0,0,0,0,1
El Paso 9.1 WNW,31.8878,106.5861,,0.29,,,,,,,0.29,0.29,1
Eldorado 0.2 WSW,30.8607242,100.6005244,0.02,0.14,0.06,0.2,,,,,0.42,0.42,1
Eldorado 22.6 ENE,31.0152,100.2609,,0.42,,,,,,,0.42,0.42,1
Elgin,30.35,-97.37,,,,,,,,,10.16,0,0
ELGIN                         ,30.35,-97.37,0,2.57,5.39,2.2,0.05,0,,,10.21,10.21,1
ELGIN                    6 SSE,30.27,-97.33,0.01,1.93,7.64,2.56,0.12,0,,,12.26,12.26,1
ELGIN                    8 NW,30.42,-97.47,0.01,1.1,6.15,2.46,0.02,0,,,9.74,9.74,1
ELGIN                    9 SW,30.23,-97.43,0.01,1.89,7.51,2.04,0.07,0,,,11.52,11.52,1
Elgin 0.9 NW,30.358042,97.384201,0,1.56,6.79,2.47,0.05,0,0,0,10.87,10.87,1
Elgin 2 ENE,30.36,-97.35,,,,,,,,,8.51,0,0
Elgin 2 NE,30.38,-97.34,,,,,,,,,8.53,0,0
Elgin 2.0 W,30.354009,97.406226,,,,0,0,0,0,,0,0,1
Elgin 2.8 NNE,30.387438,97.357269,0.28,1.76,6.14,2.51,0.05,0,0,0,10.74,10.74,1
Elgin 3.4 W,30.347512,97.429789,,,4.25,1.85,0,0,0,0,6.1,6.1,1
Elgin 3.8 ENE,30.375448,97.317315,0,1.9,7.34,2.52,0.05,0,0,0,11.81,11.81,1
Elgin 3.8 W,30.343561,97.435521,0.37,3.06,4.63,2.06,,,,,10.12,10.12,1
Elgin 4.4 SSE,30.290762,97.341412,0,2.93,6.11,2.33,0,0,0,0,11.37,11.37,1
Ellington Field  ,29.6,-95.16,,,,,,,,,39.23,0,0
Ellington Field 1 SW,29.59,-95.17,,,,,,,,,39.23,0,0
Ellington Field 2 E,29.6,-95.12,,,,,,,,,52,0,0
Elliott 1.2 NNE,34.165514,99.041965,0,0.53,,,0,0,0,0,0.53,0.53,1
Elm Bayou at Fairview Road,29.73482,-94.4041,1.81,2.72,8.5,9.49,15.55,0.83,0,,38.9,38.9,1
Elmendorf 0.8 NNE,29.2683,98.3282,0.87,0.6,2.25,0.44,0,0,0,0,4.16,4.16,1
Elmendorf 5.6 ENE,29.282869,98.245602,0.35,0.65,1.98,0.72,0.01,0,0,0,3.71,3.71,1
Enchanted Rock Station 3 E,30.51,-98.77,,,,,,,,,1.51,0,0
Enchanted Rock Station 3 NW,30.54,-98.85,,,,,,,,,0.7,0,0
Enchanted Rock Station 6 S,30.41,-98.82,,,,,,,,,1.36,0,0
Enchanted Rock Station 7 NE,30.6,-98.71,,,,,,,,,1.01,0,0
Enchanted Rock Station 9 ENE,30.54,-98.69,,,,,,,,,1.23,0,0
Encino 2 W,26.93,-98.17,,0.05,,,,,,,0.05,0.05,1
Encino 5 N,27,-98.13,,0.35,,,,,,,0.35,0.35,1
Ennis 10.0 NNE,32.471294,96.562189,0,0,0.11,0.08,0,0,0,0,0.19,0.19,1
Ennis 7.0 ENE,32.362018,96.512243,0,0.13,0.03,0.42,0,0,0,0,0.58,0.58,1
Eustace 7.4 NE,32.375036,95.916245,0,0,0.06,0.05,0,0,0,0,0.11,0.11,1
Ezers Bridge,29.61318,-94.6175,1.58,4.25,7.4,9.65,13.78,0.35,0,,37.01,37.01,1
F.M. 1406 @ North Fork Taylors Bayou,29.94778,-94.40028,0.63,3.35,12.52,8.46,13.66,3.19,0,,41.81,41.81,1
Fair Oaks Ranch 0.4 WSW,29.734786,98.642528,0,0.25,1.03,0.46,0,0,0,0,1.74,1.74,1
Fair Oaks Ranch 1.1 NNW,29.751073,98.640211,0.01,0.23,0.81,0.42,0,0,0,0,1.47,1.47,1
Fair Oaks Ranch 1.8 NW,29.7571697235107,98.6527252197266,0,0.29,0.84,0.41,0,0,0,0,1.54,1.54,1
Fair Oaks Ranch 10.0 NNE,29.873664,98.585433,0.03,0.17,0.86,0.47,0,0,0,0,1.53,1.53,1
Fair Oaks Ranch 2.2 NNW,29.766739,98.646492,0,0.26,0.76,0.44,0,0,0,0,1.46,1.46,1
Fairview 1.5 ESE,33.13341,96.60034,0,0.04,0,0.22,,0,,0,0.26,0.26,1
Falfurrias,27.22,-98.14,,0.2,,,,,,,0.2,0.2,1
FALFURRIAS                    ,27.26,-98.14,,0.24,,,,,,,0.24,0.24,1
Falfurrias 0.4 WNW,27.225690856576,98.1516174226999,,0.25,,,,,,,0.25,0.25,1
Falfurrias 0.8 SSW,27.21278,98.150455,0.05,0.24,0,0.03,0,0,0,0,0.32,0.32,1
Falfurrias 8.9 SSW,27.1058789,98.2058397,0.05,0.11,0,0,0,0,0,0,0.16,0.16,1
Falls City 8.3 WSW,28.95385,98.15503,0,1.43,1.63,0.36,0,0,0,0,3.42,3.42,1
Fancher Crossing @ State Hwy 65,29.7747,-94.5544,1.42,3.34,10.32,8.34,11.66,1.06,0.04,,36.18,36.18,1
Fannett 1 NE,29.93,-94.24,,,,,,,,,49.25,0,0
Fannett 2 SW,29.9,-94.27,,,,,,,,,44.96,0,0
Fannett 5 WNW,29.95,-94.33,,,,,,,,,45,0,0
Fannett 6 SE,29.86,-94.18,,,,,,,,,39.76,0,0
Fayetteville 1.0 SW,29.896486,96.686552,0.1,4.52,9.93,7.59,0.55,0.01,0,0,22.7,22.7,1
Fayetteville 4 W,29.91,-96.74,,,,,,,,,18.47,0,0
FEDOR                         ,30.32,-97.06,0,3.36,8.7,,,,,,12.06,12.06,1
First Colony 2 SE,29.55,-95.58,,,,,,,,,39.17,0,0
FISCHER                       ,29.98,-98.26,0.31,,,0.6,0,,,,0.91,0.91,1
Fischer 2 SSE,29.95,-98.26,,,,,,,,,3.56,0,0
Fischer 2.3 ESE,29.96611,98.23,0.19,0.68,3.42,0.38,,,,,4.67,4.67,1
Fischer 4 ENE,30,-98.22,,,,,,,,,5.05,0,0
Flatonia 0.4 SW,29.68241,97.11165,0,3.84,8.04,7.23,0.13,0,0,,19.24,19.24,1
Flatonia 11.9 NNW,29.848744,97.177739,0,3.12,12.85,10.65,0,0,0,0,26.62,26.62,1
FLORENCE                 3 SE,30.8,-97.77,,,,0.36,0,,,,0.36,0.36,1
FLORENCE                 3 SW,30.81,-97.82,0.06,0.02,1.63,0.73,0,0,,,2.44,2.44,1
Florence 5.0 SSE,30.778193,97.748227,,0.16,2.59,0.88,,,,,3.63,3.63,1
Floresville 0.7 S,29.1262775,98.1565854,,,,,,0,,,0,0,1
Floresville 4 NW,29.18,-98.21,,,,,,,,,3.01,0,0
Floresville 5.7 WNW,29.1797,98.2366,0.01,0.77,2.12,0.67,0.01,0,0,0,3.58,3.58,1
Floresville 8.1 NNW,29.249549,98.195823,0.03,0.94,2.63,1.09,0.02,0,0,0,4.71,4.71,1
Floresville 8.9 WNW,29.169644,98.298755,0,0.54,1.77,0.4,,,,,2.71,2.71,1
Floresville 9.4 NW,29.247692,98.247253,0.08,0.85,1.85,0.68,0.02,0,0,,3.48,3.48,1
Floresville/San Antonio River,29.13,-98.16,,,,,,,,,3.22,0,0
Flour Bluff 1.6 SW,27.661316,97.303112,0.52,3.02,0.1,0.01,0,0,0,0,3.65,3.65,1
Flower Mound 1.3 ESE,33.020513,97.071494,,,,0.41,,,,,0.41,0.41,1
Flower Mound 1.4 SSE,33.010517,97.081701,0,0.02,0.02,0.44,0,0,0,0,0.48,0.48,1
Flower Mound 2.3 NE,33.05617142,97.07029724,0,0.02,0.02,0.03,0,0,0,0,0.07,0.07,1
FLOYDADA                      ,34,-101.33,,,0,0,,,,,0,0,1
FLOYDADA                 1 S,33.99,-101.34,,,0,0,,,,,0,0,1
FLOYDADA                 9 SE,33.88,-101.25,,,0.04,0,,,,,0.04,0.04,1
FLUVANNA                      ,32.9,-101.2,,,0,0,,,,,0,0,1
FMSP McKelligon,31.84252,106.486377,0,0,0,0,0,0,0,0,0,0,1
FMSP Tom Mays,31.916,106.51517,0,0,0,0,0,0,0,0,0,0,1
Folsom Road @ Hillebrandt Bayou (D-100),30.11528,-94.16583,0.24,1.85,8.66,5.31,14.88,4.93,0.35,,36.22,36.22,1
Forest Trail @ Ditch 1202 (Northwest Forest),30.14028,-94.24889,0.36,2.44,9.21,6.18,15.71,3.9,0,,37.8,37.8,1
FORESTBURG               5 S,33.47,-97.57,,,,,,0,,,0,0,1
Forney 1.3 SSW,32.73526,96.475515,,,0.25,,,,,,0.25,0.25,1
Fort Davis 0.3 NNW,30.592978,103.895849,0.06,0,0,0,0,0,0,0,0.06,0.06,1
Fort Davis 1.7 SSE,30.565231,103.884153,0.09,0,0,0,0,0,0,0,0.09,0.09,1
Fort McKavett 7.2 N,30.930865,100.111197,0,0.04,0,0.2,0,0,0,0,0.24,0.24,1
